 #    i     x              ref(x)   imf(x)    k   th(k)    reF(k)    imF(k)    reF-1(x)   imF-1(x)
     97  -16.211       262.7945       0.000000        15.24     -0.8614831E-02  0.8873713E-02 -0.1117070E-14   262.7945      0.3160599E-14
     98  -16.172       261.5295       0.000000        15.39      0.8439915E-02  0.8698893E-02  0.2168842E-16   261.5295      0.5436825E-14
     99  -16.133       260.2676       0.000000        15.55     -0.8270273E-02  0.8529348E-02 -0.1464841E-15   260.2676     -0.3612742E-13
    100  -16.094       259.0088       0.000000        15.71      0.8105695E-02  0.8364868E-02 -0.1723672E-16   259.0088      0.6874676E-14
    101  -16.055       257.7530       0.000000        15.87     -0.7945980E-02  0.8205253E-02  0.4772833E-16   257.7530     -0.2924677E-14
    102  -16.016       256.5002       0.000000        16.02      0.7790941E-02  0.8050313E-02  0.5134012E-16   256.5002     -0.8703275E-14
    103  -15.977       255.2505       0.000000        16.18     -0.7640395E-02  0.7899868E-02  0.6510867E-16   255.2505     -0.8130750E-14
    104  -15.938       254.0039       0.000000        16.34      0.7494170E-02  0.7753746E-02  0.2146082E-16   254.0039      0.2819966E-13
    105  -15.898       252.7603       0.000000        16.49     -0.7352104E-02  0.7611783E-02  0.4020741E-15   252.7603      0.9502748E-14
    106  -15.859       251.5198       0.000000        16.65      0.7214039E-02  0.7473823E-02 -0.6661507E-17   251.5198      0.7292547E-16
    107  -15.820       250.2823       0.000000        16.81     -0.7079828E-02  0.7339717E-02  0.3627819E-16   250.2823     -0.1802208E-13
    108  -15.781       249.0479       0.000000        16.96      0.6949327E-02  0.7209323E-02  0.2072951E-16   249.0479      0.1369901E-13
    109  -15.742       247.8165       0.000000        17.12     -0.6822401E-02  0.7082505E-02 -0.7459311E-16   247.8165     -0.3328901E-14
    110  -15.703       246.5881       0.000000        17.28      0.6698921E-02  0.6959134E-02 -0.6290926E-16   246.5881     -0.1551727E-13
    111  -15.664       245.3629       0.000000        17.44     -0.6578764E-02  0.6839086E-02 -0.4011508E-15   245.3629      0.2215512E-13
    112  -15.625       244.1406       0.000000        17.59      0.6461810E-02  0.6722243E-02  0.1188583E-16   244.1406     -0.3774758E-14
    113  -15.586       242.9214       0.000000        17.75     -0.6347948E-02  0.6608493E-02 -0.5981314E-15   242.9214      0.9600726E-14
    114  -15.547       241.7053       0.000000        17.91      0.6237069E-02  0.6497727E-02  0.7967819E-16   241.7053      0.2101097E-13
    115  -15.508       240.4922       0.000000        18.06     -0.6129070E-02  0.6389841E-02  0.1320383E-16   240.4922     -0.1747907E-13
    116  -15.469       239.2822       0.000000        18.22      0.6023852E-02  0.6284738E-02  0.1152017E-16   239.2822     -0.8208846E-14
    117  -15.430       238.0753       0.000000        18.38     -0.5921320E-02  0.6182323E-02 -0.3332121E-16   238.0753     -0.1481114E-13
    118  -15.391       236.8713       0.000000        18.54      0.5821384E-02  0.6082504E-02  0.8340487E-16   236.8713      0.1807759E-13
    119  -15.352       235.6705       0.000000        18.69     -0.5723956E-02  0.5985195E-02 -0.1034679E-16   235.6705      0.1791105E-13
    120  -15.312       234.4727       0.000000        18.85      0.5628955E-02  0.5890313E-02 -0.4119968E-17   234.4727      0.2924404E-13
    121  -15.273       233.2779       0.000000        19.01     -0.5536299E-02  0.5797777E-02 -0.1224575E-15   233.2779     -0.2759938E-13
    122  -15.234       232.0862       0.000000        19.16      0.5445912E-02  0.5707512E-02 -0.7312629E-16   232.0862      0.1273274E-13
    123  -15.195       230.8975       0.000000        19.32     -0.5357720E-02  0.5619443E-02 -0.1264264E-15   230.8975     -0.2186105E-13
    124  -15.156       229.7119       0.000000        19.48      0.5271654E-02  0.5533501E-02 -0.1236032E-15   229.7119      0.9854863E-14
    125  -15.117       228.5294       0.000000        19.63     -0.5187645E-02  0.5449616E-02 -0.3281047E-15   228.5294     -0.2440749E-13
    126  -15.078       227.3499       0.000000        19.79      0.5105628E-02  0.5367726E-02 -0.5531108E-16   227.3499      0.1171258E-13
    127  -15.039       226.1734       0.000000        19.95     -0.5025541E-02  0.5287766E-02  0.1757641E-14   226.1734      0.2546928E-13
    128  -15.000       225.0000       0.000000        20.11      0.4947323E-02  0.5209676E-02   0.000000       225.0000     -0.2943164E-14
    129  -14.961       223.8297       0.000000        20.26     -0.4870918E-02  0.5133400E-02  0.1030061E-14   223.8297      0.6869505E-14
    130  -14.922       222.6624       0.000000        20.42      0.4796269E-02  0.5058882E-02 -0.1289772E-16   222.6624      0.6606900E-14
    131  -14.883       221.4981       0.000000        20.58     -0.4723323E-02  0.4986067E-02  0.3641418E-15   221.4981     -0.3750100E-13
    132  -14.844       220.3369       0.000000        20.73      0.4652029E-02  0.4914906E-02  0.6696585E-16   220.3369      0.2401179E-13
    133  -14.805       219.1788       0.000000        20.89     -0.4582336E-02  0.4845347E-02 -0.3104474E-16   219.1788     -0.1326824E-13
    134  -14.766       218.0237       0.000000        21.05      0.4514198E-02  0.4777344E-02 -0.1689021E-16   218.0237     -0.6690167E-14
    135  -14.727       216.8716       0.000000        21.21     -0.4447569E-02  0.4710851E-02 -0.3433493E-16   216.8716     -0.1579507E-13
    136  -14.688       215.7227       0.000000        21.36      0.4382404E-02  0.4645823E-02  0.2039577E-16   215.7227      0.2381643E-13
    137  -14.648       214.5767       0.000000        21.52     -0.4318661E-02  0.4582218E-02 -0.6967431E-16   214.5767     -0.3191891E-14
    138  -14.609       213.4338       0.000000        21.68      0.4256298E-02  0.4519995E-02 -0.6689363E-17   213.4338      0.6384856E-14
    139  -14.570       212.2940       0.000000        21.83     -0.4195277E-02  0.4459114E-02 -0.1095690E-15   212.2940     -0.2681403E-13
    140  -14.531       211.1572       0.000000        21.99      0.4135559E-02  0.4399537E-02  0.2596901E-16   211.1572      0.1050656E-13
